Type,av_salary,count,Upper_Quartile,Lower_Quartile
Administrator,26947,5,32755,24051
Advisor,42000,6,44241.75,36206.25
Analyst,38000,46,41329,34248
Assistant,25627,10,27884.75,24250
Coordinator,27121,8,28125,24781.25
Developer,49430,6,53000,46000
Director,85000,8,125000,68330
Head Of,60307,17,69186.5,55726
Lead,46000,17,60000,37900
Manager,43132,58,50000,40000
Officer,27850,50,31225,25000
Senior Analyst,48499,11,50250,40681.5
Senior Engineer,62500,5,65000,56510
Senior Manager,51651,8,56000,48550
Specialist,45000,7,49275,37736
